split,model,rmse,mae,n
temporal_holdout,gbt_with_rain,0.382067763220509,0.1441059939601625,352658
temporal_holdout,gbt_rain_ablated,0.3854324550593936,0.1485764706328137,352658
temporal_holdout,historical_mean,0.385801975845528,0.14325656834366987,352658
temporal_holdout,naive_persistence,0.3772472242717805,0.1300340206861547,352614
temporal_holdout,__rain_gain_pct__,0.8729653651937842,,352658
event_based_wet_only,gbt_with_rain,0.21682058145620417,0.11900861720520335,15365
event_based_wet_only,gbt_rain_ablated,0.21089920737658333,0.11039293181847609,15365
event_based_wet_only,__rain_gain_pct__,-2.8076796272864084,,15365
spatial_holdout,gbt_with_rain,0.41932136469186887,0.15742994611621006,264453
spatial_holdout,gbt_rain_ablated,0.36638768600489213,0.1568792529063823,264453
spatial_holdout,historical_mean,0.2891825954287751,0.14524389189039505,264453
spatial_holdout,naive_persistence,0.2732725087412045,0.13460994121241446,264331
spatial_holdout,__rain_gain_pct__,-14.447450257995284,,264453
cross_city_uk_to_mainland,gbt_with_rain,0.16702030132064494,0.1172758669856877,306799
cross_city_uk_to_mainland,gbt_rain_ablated,0.17214234956501925,0.12051984915433261,306799
cross_city_uk_to_mainland,historical_mean,0.13727844128837513,0.08645284197396996,306799
cross_city_uk_to_mainland,naive_persistence,0.14761346570085185,0.08848471300332979,306568
cross_city_uk_to_mainland,__rain_gain_pct__,2.9754724838583004,,306799
