city,german,verdict,rows,n_detectors,n_days,first_day,last_day,span_days,day_density_pct,resolution_sec,flow_pct,occ_pct,speed_pct,error_ok_pct,error_flagged_pct,error_unassessed_pct,occ_min,occ_max,speed_min,speed_max,speed_avg
hamburg,True,NO_SPEED,20415435,418,105,2016-08-27,2016-12-09,105,100.0,180,100.0,99.3385,0.0,0.0,48.5335,51.4665,0.0,1.0,,,
darmstadt,True,NO_SPEED,4677926,392,39,2015-09-21,2016-05-06,229,17.0306,180,100.0,100.0,0.0,0.0,56.6564,43.3436,0.0,1.32,,,
augsburg,True,NO_SPEED,3443577,713,20,2017-05-06,2017-05-25,20,100.0,300,100.0,100.0,0.0,0.0,45.9837,54.0163,0.0,1.24,,,
bremen,True,NO_SPEED,3578512,548,14,2016-09-19,2016-10-02,14,100.0,180,100.0,99.9962,0.0,74.1235,25.8765,0.0,0.0,1.305,,,
speyer,True,NO_SPEED,1235392,184,14,2016-09-19,2016-10-02,14,100.0,180,100.0,99.9998,0.0,0.0,35.623,64.377,0.0,1.0,,,
wolfsburg,True,NO_SPEED,893672,133,14,2016-09-19,2016-10-02,14,100.0,180,100.0,99.9973,0.0,0.0,32.1035,67.8965,0.0,1.0,,,
stuttgart,True,NO_SPEED,600192,298,8,2016-03-21,2016-07-22,124,6.4516,299,100.0,100.0,0.0,0.0,35.1191,64.8809,0.0,2.55,,,
kassel,True,NO_SPEED,534684,505,6,2016-08-28,2016-09-02,6,100.0,300,100.0,99.8805,0.0,0.0,19.461,80.539,0.0,1.28,,,
munich,True,NO_SPEED,149270,520,1,2017-02-14,2017-02-14,1,100.0,300,100.0,100.0,0.0,0.0,36.2826,63.7174,0.0,1.0,,,
frankfurt,True,NO_SPEED,30638,112,1,2016-12-21,2016-12-21,1,100.0,300,100.0,100.0,0.0,0.0,32.7991,67.2009,0.0002001953125,1.482666015625,,,
luzern,False,NO_SPEED,26878297,158,365,2015-01-01,2015-12-31,365,100.0,180,100.0,100.0,0.0,0.0,33.7296,66.2704,0.0,999.99,,,
paris,False,NO_SPEED,1548314,208,336,2016-01-01,2016-12-01,336,100.0,3600,100.0,88.8622,0.0,0.0,6.8787,93.1213,0.0,0.902,,,
toronto,False,NO_SPEED,1042330,188,61,2016-09-01,2017-01-31,153,39.8693,900,100.0,100.0,0.0,0.0,27.0039,72.9961,0.0,1.0,,,
cagliari,False,NO_SPEED,2820293,122,50,2016-05-16,2016-07-29,75,66.6667,180,100.0,100.0,0.0,0.0,21.7594,78.2406,0.0,1.0,,,
marseille,False,NO_SPEED,2433600,169,31,2017-06-01,2017-07-01,31,100.0,180,100.0,100.0,0.0,0.0,19.5709,80.4291,-0.01,1.0,,,
strasbourg,False,NO_SPEED,1327558,142,25,2017-05-10,2017-11-11,186,13.4409,180,100.0,99.0733,0.0,0.0,0.0,100.0,0.0,1.29,,,
london,False,NO_SPEED,34397322,5719,23,2015-05-15,2016-05-22,374,6.1497,300,100.0,100.0,0.0,64.4333,35.5667,0.0,0.0,1.0,,,
madrid,False,NO_SPEED,5070083,1116,20,2016-08-29,2017-11-11,440,4.5455,300,100.0,100.0,0.0,0.0,32.068,67.932,-0.01,194.04,,,
melbourne,False,NO_SPEED,1369849,954,15,2018-02-12,2018-02-26,15,100.0,900,100.0,0.0,0.0,0.0,15.008,84.992,,,,,
taipeh,False,NO_SPEED,2408368,445,14,2017-09-18,2017-10-01,14,100.0,180,100.0,100.0,0.0,0.0,21.9047,78.0953,-0.01,1.0,,,
santander,False,NO_SPEED,490136,219,11,2016-06-17,2016-12-02,169,6.5089,300,100.0,100.0,0.0,0.0,18.4608,81.5392,0.0,1.27,,,
